Latitude,Longitude,,,,,
55.83585N,3.23522W,,,,,
55.83586N,3.2352W,,,,,
55.83585N,3.23523W,,,,,
55.83588N,3.23518W,,,,,
55.83589N,3.23523W,,,,,
55.83589N,3.23523W,,,,,
55.83589N,3.23523W,,,,,
55.83587N,3.23529W,,,,,
55.83588N,3.23529W,,,,,
55.8359N,3.23517W,,,,,
55.83588N,3.23518W,,,,,
55.83588N,3.23521W,,,,,
55.83588N,3.23519W,,,,,
55.83588N,3.23522W,,,,,
55.83589N,3.23514W,,,,,
55.83587N,3.23522W,,,,,
55.8359N,3.23516W,,,,,
55.83589N,3.23518W,,,,,
55.87755N,3.17094W,,,,,
55.87755N,3.17093W,,,,,
55.87755N,3.17093W,,,,,
55.87756N,3.17093W,,,,,
55.87755N,3.17093W,,,,,
55.87754N,3.17092W,,,,,
55.87754N,3.17092W,,,,,
55.87753N,3.17092W,,,,,
55.87721N,3.17079W,,,,,
55.87698N,3.17087W,,,,,
55.87725N,3.17188W,,,,,
55.87725N,3.17189W,,,,,
55.87726N,3.17189W,,,,,
55.87841N,3.17139W,,,,,
55.88061N,3.16964W,,,,,
55.88163N,3.16881W,,,,,
55.88243N,3.168W,,,,,
55.88442N,3.16651W,,,,,
55.88669N,3.16469W,,,,,
55.88795N,3.16366W,,,,,
55.88834N,3.16348W,,,,,
55.88946N,3.16277W,,,,,
55.89009N,3.16705W,,,,,
55.8908N,3.17298W,,,,,
55.89149N,3.17964W,,,,,
55.89212N,3.18638W,,,,,
55.89296N,3.19268W,,,,,
55.89444N,3.19899W,,,,,
55.89639N,3.20485W,,,,,
55.89775N,3.21157W,,,,,
55.89854N,3.21824W,,,,,
55.89911N,3.225W,,,,,
55.89944N,3.2318W,,,,,
55.89921N,3.23861W,,,,,
55.89865N,3.24509W,,,,,
55.89821N,3.25191W,,,,,
55.89841N,3.25875W,,,,,
55.89929N,3.2654W,,,,,
55.90146N,3.2711W,,,,,
55.90473N,3.27492W,,,,,
55.90801N,3.27784W,,,,,
55.91095N,3.28243W,,,,,
55.91282N,3.28875W,,,,,
55.91433N,3.29521W,,,,,
55.91683N,3.30039W,,,,,
55.91992N,3.30497W,,,,,
55.92265N,3.30909W,,,,,
55.92402N,3.31319W,,,,,
55.92163N,3.31856W,,,,,
55.92871N,3.49468W,,,,,
55.92874N,3.4947W,,,,,
55.92875N,3.49474W,,,,,
55.92863N,3.49477W,,,,,
55.92863N,3.49478W,,,,,
55.92861N,3.49469W,,,,,
55.92864N,3.49465W,,,,,
55.92875N,3.49468W,,,,,
55.92878N,3.4947W,,,,,
55.92878N,3.4947W,,,,,
55.92878N,3.49472W,,,,,
55.92876N,3.49476W,,,,,
55.92874N,3.49478W,,,,,
55.92875N,3.49477W,,,,,
55.92876N,3.49476W,,,,,
55.92875N,3.49476W,,,,,
55.92874N,3.49477W,,,,,
55.92875N,3.49475W,,,,,
55.92875N,3.49473W,,,,,
55.92876N,3.49472W,,,,,
55.92877N,3.49474W,,,,,
55.92877N,3.49474W,,,,,
55.92878N,3.49472W,,,,,
55.92877N,3.49471W,,,,,
55.92876N,3.49472W,,,,,
55.92875N,3.49471W,,,,,
55.92875N,3.49472W,,,,,
55.92872N,3.49476W,,,,,
55.92868N,3.49478W,,,,,
55.92867N,3.49475W,,,,,
55.92868N,3.49473W,,,,,
